A1CF NG_029916
A2M NG_011717
A2ML1 NG_042857
A4GALT NG_007495
AAAS NG_016775
AAGAB NG_033007
AAMP NG_033036
AANAT NG_015976
AARS NG_023191
AARS2 NG_031952
AASDH NG_046885
AASS NG_008140
AATK NG_029981
ABAT NG_008432
ABCA1 NG_007981
ABCA12 NG_007074
ABCA13 NG_012385
ABCA2 NG_011789
ABCA3 NG_011790
ABCA4 NG_009073
ABCA5 NG_034199
ABCA7 NG_046909
ABCB1 NG_011513
ABCB11 NG_007374
ABCB4 NG_007118
ABCB6 NG_032110
ABCB7 NG_007980
ABCC1 NG_028268
ABCC11 NG_011522
ABCC2 NG_011798
ABCC4 NG_050651
ABCC5 NG_047115
ABCC6 NG_007558
ABCC8 NG_008867
ABCC9 NG_012819
ABCD1 NG_009022
ABCD3 NG_008865
ABCD4 NG_032875
ABCE1 NG_047075
ABCF1 NG_047030
ABCG2 NG_032067
ABCG4 NG_047178
ABCG5 NG_008883
ABCG8 NG_008884
ABHD12 NG_028119
ABHD5 NG_007090
ABI1 NG_030025
ABL1 NG_012034
ABL2 NG_028242
ABLIM1 NG_029872
ABLIM3 NG_051566
ABO NG_006669
ABR NG_011987
ABTB1 NG_029479
ACAA1 NG_023225
ACACA NG_023295
ACACB NG_046907
ACAD11 NG_042830
ACAD8 NG_015842
ACAD9 NG_017064
ACADL NG_008002
ACADM NG_007045
ACADS NG_007991
ACADSB NG_008003
ACADVL NG_007975
ACAN NG_012794
ACAT1 NG_009888
ACAT2 NG_023389
ACBD3 NG_028985
ACBD5 NG_032960
ACD NG_042874
ACE NG_011648
ACE2 NG_012575
ACHE NG_007474
ACIN1 NG_030461
ACKR1 NG_011626
ACLY NG_047031
ACO2 NG_032143
ACOT9 NG_016780
ACOX1 NG_008190
ACOX2 NG_052668
ACP1 NG_012035
ACP2 NG_023296
ACP5 NG_028127
ACP6 NG_050757
ACPP NG_047032
ACPT NG_052652
ACRV1 NG_047033
ACSF3 NG_031961
ACSL4 NG_008053
ACSL6 NG_028290
ACSS2 NG_011520
ACTA1 NG_006672
ACTA2 NG_011541
ACTB NG_007992
ACTC1 NG_007553
ACTG1 NG_011433
ACTG2 NG_034140
ACTN1 NG_029480
ACTN2 NG_009081
ACTN3 NG_013304
ACTN4 NG_007082
ACTR1A NG_011901
ACTRT1 NG_021358
ACVR1 NG_008004
ACVR1B NG_022926
ACVR2B NG_011791
ACVRL1 NG_009549
ACY1 NG_012036
ADA NG_007385
ADA2 NG_033943
ADAM10 NG_033876
ADAM12 NG_029050
ADAM15 NG_029667
ADAM17 NG_029873
ADAM19 NG_046960
